type,name,default_partition,secondary_tabs,enabled,label_mode,content_node,tip_content,content_template,content_list,action_buttons
分区,商城,,,,,,,
分区,存档,,,,,,,
分区,生涯,,,,,,,
一级页签,仓库,存档,,1,title,100X7,仓库总览|查看当前仓库收藏|[仓库说明]|这里展示已解锁的仓库藏品、收藏进度与基础信息。|[当前状态]|点击左侧按钮列表切换不同存档模块，选中条目后可查看详细说明。|[获取方式]|通过局内掉落、活动奖励与外部解锁获得。,商品,100X7,使用@use
一级页签,商品,商城,UR|UB|全部,1,title,100X7,,商品,100X7,购买@buy
一级页签,皮肤,商城,,1,title,100X7,,商品,100X7,佩戴@wear
一级页签,翅膀,商城,,1,title,100X7,,商品,100X7,佩戴@wear
一级页签,套装,存档,,1,title,100X7,套装总览|查看套装收集进度|[套装说明]|这里展示已解锁套装、部件数量与当前收集状态。|[当前状态]|点击中间条目可查看套装效果、缺失部位和属性信息。|[获取方式]|通过关卡奖励、活动投放与兑换内容逐步收集。,商品,100X7,佩戴@wear|升级@upgrade|随机属性@reroll
一级页签,地图等级,商城,,1,title,100X7,地图等级|查看地图成长进度|[等级说明]|这里展示地图等级、阶段奖励与下一档升级目标。|[当前状态]|完成关卡和累计活跃都可以推进地图等级成长。|[获取方式]|通过通关、挂机累计和活动任务提升地图等级。,商品,100X7,升级@upgrade
一级页签,荣誉等级,商城,,1,title,100X7,荣誉等级|查看荣誉累计进度|[荣誉说明]|这里展示荣誉等级、当前荣誉值与阶段解锁奖励。|[当前状态]|挑战更高难度和完成目标可获得更多荣誉。|[获取方式]|通过通关表现、挑战任务和成就奖励累计荣誉值。,商品,100X7,升级@upgrade
一级页签,成就,生涯,全部|通关成就|成长成就,1,title,100X7,成就总览|完成你的阶段目标|[进度说明]|这里展示成就点、阶段奖励与最近完成记录。|[当前状态]|点击左侧页签切换不同生涯模块。|[获取方式]|通关、累计养成与收集行为都会推进成就。,商品,100X7
一级页签,英雄图鉴,生涯,全部|战士|法师,1,title,100X7,英雄图鉴|已解锁英雄信息|[图鉴说明]|这里展示英雄解锁、星级与专精进度。|[当前状态]|选中英雄后可查看详细成长条目。|[获取方式]|通过关卡奖励、活动与商店兑换获取英雄。,商品,100X7
一级页签,羁绊图鉴,生涯,全部|进攻羁绊|防御羁绊,1,title,100X7,羁绊图鉴|羁绊收集与激活|[图鉴说明]|这里展示羁绊激活条件、层级与效果说明。|[当前状态]|满足队伍条件后可在局内触发羁绊效果。|[获取方式]|通过收集对应英雄并达成编队条件激活。,商品,100X7
一级页签,称号,生涯,全部|基础称号|进阶称号,1,title,100X7,称号系统|称号收集进度|[称号说明]|这里展示称号属性、佩戴状态与获取记录。|[当前状态]|佩戴中的称号会在局外信息中展示。|[获取方式]|通过成就节点、活动和挑战任务解锁称号。,商品,100X7,佩戴@wear
