id,order_index,hero_id,rarity,name,subtitle,trigger_type,trigger_value,cooldown,pattern,damage_type,damage_form,element,damage_label,damage_ratio,splash_ratio,radius,target_count,bounce_count,repeat_count,repeat_interval,heal_ratio,hp_threshold,boss_bonus_ratio,gold_gain,delay,summary,item_desc
kaishan_hou,1,chi_ran_luohan,R,开山吼,普攻震场,basic_attack,6,5.5,hero_pulse,物理,weapon,none,战震,1.60,0,260,0,0,0,0,0,0,0.50,0,0,第六次普攻震裂周身并压住贴脸怪。,定位：近战护阵；触发：每6次普攻；效果：对自身周围260范围敌人造成160%攻击的物理伤害，对精英与Boss额外+50%。
tiecheng_yin,2,xuan_jia_dutong,R,铁城印,定时护体,interval,9,9,healing_wave,法术,spell,none,护印,1.10,0,220,0,0,0,0,0.05,0,0.20,0,0,每隔一段时间震地护体并回复生命。,定位：守阵续航；触发：每9秒；效果：回复5%最大生命，并对周围220范围敌人造成110%攻击的法术伤害。
qianji_ling,3,tian_ji_lingnv,SR,千机翎,机关攒射,interval,7.2,7.2,repeat_strikes,法术,spell,none,机翎,0.95,0,420,3,0,3,0.25,0,0,0.20,0,0,周期放出机关翎羽连续追击附近敌人。,定位：机巧攒射；触发：每7.2秒；效果：连续3轮锁定附近最多3名敌人，每轮造成95%攻击的法术伤害。
pili_nu,4,pili_nuji,SR,霹雳弩,连锁雷矢,basic_attack,5,4.6,chain_bolt,物理,weapon,none,雷矢,1.35,0.80,430,0,3,0,0,0,0,0.20,0,0,普攻叠满后发射连锁雷弩切穿敌列。,定位：弹射清群；触发：每5次普攻；效果：对目标造成135%攻击的物理伤害，并连锁3次，后续每跳造成80%倍率伤害。
liedi_ta,5,jiuli_zhanjiang,SR,裂地踏,践地震环,interval,9.5,9.5,hero_pulse,物理,weapon,none,重踏,2.00,0,320,0,0,0,0,0,0,0.60,0,0,大步践地震碎周边并强压精英单位。,定位：震场爆发；触发：每9.5秒；效果：对自身周围320范围敌人造成200%攻击的物理伤害，对精英与Boss额外+60%。
canghai_nu,6,canglan_zhanhun,SSR,沧海怒,海潮连斩,interval,11,11,repeat_strikes,物理,weapon,none,战潮,1.40,0,360,5,0,3,0.20,0,0,0.50,0,0,连续掀起海潮刀斩覆盖大批敌人。,定位：持续压场；触发：每11秒；效果：连续3轮斩击附近最多5名敌人，每轮造成140%攻击的物理伤害，对精英与Boss额外+50%。
luori_shi,7,zhuri_shengong,SSR,落日矢,斩首神箭,basic_attack,7,6.0,execute_burst,物理,weapon,none,神箭,2.30,0.80,220,0,0,0,0,0,0.30,0.60,0,0,高倍率神箭专门收割残血目标与首领。,定位：远程斩首；触发：每7次普攻；效果：对目标造成230%攻击的物理伤害，若目标生命低于30%则追加处决伤害，并对周围220范围造成余波。
tianmu_ji,8,xiansheng_zhenjun,UR,天目戟,战锋连镇,basic_attack,6,5.4,repeat_strikes,物理,weapon,none,战锋,1.80,0,350,5,0,3,0.16,0,0,0.80,0,0,战戟连断三轮并对首领形成极强压制。,定位：UR连斩；触发：每6次普攻；效果：连续3轮斩击附近最多5名敌人，每轮造成180%攻击的物理伤害，对精英与Boss额外+80%。
shihun_fu,9,youdu_tianxiang,UR,噬魂印,尸咒裂潮,enemy_kill,5,4.8,corpse_burst,法术,spell,none,冥咒,2.20,1.10,320,0,0,0,0,0,0,0.40,0,0,击杀滚起尸咒爆潮并快速扩大连锁击杀。,定位：滚雪球清场；触发：每5次击杀；效果：在尸体位置引爆猎印，对320范围敌人造成220%攻击的[幽冥]法术伤害，并追加一段110%倍率余爆。
shuiyue_ling,10,yaochi_xianshu,R,水月绫,技后回环,attack_skill,4,6,cleave_target,法术,spell,none,绫光,1.20,0.80,240,0,0,0,0,0,0,0.20,0,0,技能连用后以水绫回斩补足周边伤害。,定位：技后补刀；触发：每4次攻击技能；效果：对目标造成120%攻击的法术伤害，并对周围240范围敌人造成80%倍率伤害。
