道具名称,获取方式,商城页签,是否激活,增益属性/资源,增益数值,道具类型,效果触发时机,特效/机制
金币礼包,商城购买,U币道具,未激活,银钥匙,x5,礼包,下次登入获得,
启程礼包,商城购买,U币道具,未激活,金钥匙,x3,礼包,下次登入获得,
一元礼包,商城购买,U币道具,未激活,珍藏积分、传说密钥,+1、x1,礼包,下次登入获得,
超值礼包,商城购买,U币道具,未激活,珍藏积分、传说密钥,+6、x5,礼包,下次登入获得,
资源礼包,商城购买,U币道具,未激活,珍藏积分、传说密钥、初始金币、初始木材、初始杀敌,+18、x3、+200、+50、+50,礼包,下次登入获得,
黄金月卡,商城购买,U币道具,未激活,,,月卡,每日/持续生效,每天首次登入获得：符文石x180; 炉岩碳x180; 银钥匙x3; 金钥匙x1
每日超值月卡,商城购买,U币道具,未激活,,,月卡,每日/持续生效,"完成每日任务时所有奖励翻倍，并额外获得：
任务1：符文石x100
任务2：符文石x150
任务3：符文石x200
任务4：传说密钥x1
(购买当日若已完成任务，则次日生效)"
独狼手册,商城购买,U币道具,未激活,珍藏积分、传说密钥,+68、x5,特权道具,下次登入获得,单人游戏时激活属性加成：每秒力量/敏捷/智力+0.3，所有伤害+3%
超级矿工锄,商城购买,U币道具,未激活,珍藏积分、传说密钥,+88、x8,工具道具,下次登入获得,考古模式下每次挖掘所需时间降低15%；获取古物所需时间降低15%
大客户凭证,商城购买,U币道具,未激活,珍藏积分、传说密钥、生命增幅、攻击增幅,+128、x8、+3%、+3%,特权道具,下次登入获得,黑市自动刷新间隔-30秒；黑市道具出现折扣的概率+25%
力量之心,商城购买,U币道具,未激活,珍藏积分、传说密钥、最终力量,+168、x10、+5%,属性核心,下次登入获得,力量提供的属性转换额外提高10%
敏捷之心,商城购买,U币道具,未激活,珍藏积分、传说密钥、最终敏捷,+168、x10、+5%,属性核心,下次登入获得,敏捷提供的属性转换额外提高10%
智力之心,商城购买,U币道具,未激活,珍藏积分、传说密钥、最终智力,+168、x10、+5%,属性核心,下次登入获得,智力提供的属性转换额外提高10%
挑战达人,商城购买,U币道具,未激活,珍藏积分、传说密钥、力量增幅、敏捷增幅、智力增幅,+238、x15、+5%、+5%、+5%,功能特权,下次登入获得,金币挑战CD-5S；木材挑战CD-10S；经验挑战CD-15S；宝物挑战CD-20S
泰坦护符,商城购买,U币道具,未激活,珍藏积分、传说密钥、生命增幅、攻击增幅、护甲增幅、复活次数,+238、x15、+5%、+5%、+5%、+1,特权道具,下次登入获得,单次受到伤害不会超过最大生命值的50%；游戏内使用神符的效果持续时间+20%
百兵之主,商城购买,U币道具,未激活,珍藏积分、传说密钥、物理伤害、魔法伤害、无视护甲,+298、x20、+8%、+8%、+3%,商城道具,下次登入获得,成长武器升级消耗金币降低20%；成长武器的词缀提高一个品阶(大幅度提高稀有词条的出现概率)
选技达人,商城购买,U币道具,未激活,珍藏积分、传说密钥、力量增幅、敏捷增幅、智力增幅,+298、x20、+8%、+8%、+8%,功能特权,下次登入获得,开局三分钟后获得100木材和吞噬丹×2，五分钟后技能点×1，十分钟后英雄卡×1
马上有钱,商城购买,U币道具,未激活,珍藏积分、传说密钥、解锁游戏内新年SSR称号“马上有钱” (属性：初始金币,+128、x8、+500，每秒金币+10，杀敌金币+2%),商城道具,下次登入获得,游戏内输入“马上有钱”，当前金币增加20%（每局仅生效一次）
时间管理大师,商城购买,U币道具,未激活,珍藏积分、传说密钥、最终生命、最终攻击、最终护甲,+168、x10、+2%、+2%、+2%,功能特权,下次登入获得,普通模式下，[提前挑战]功能的使用时间可额外提前120秒(需满足局内其他条件)
故人的篮球,商城购买,U币道具,未激活,珍藏积分、传说密钥,+68、x5,外观道具,下次登入获得,游戏内解锁弹道[故人的篮球]（属性效果在藏品-弹道中查看）
打狗棒,商城购买,U币道具,未激活,珍藏积分、传说密钥、攻击增幅,+128、×8、+5%,特殊道具,下次登入获得,至宝神兵，对“狗作者”特攻神器，有了打狗棒相助，神龙触发与狗作者的战斗必定会获得胜利(需要先完成“我打不过”成就)
交易能手,商城购买,U币道具,未激活,珍藏积分、传说密钥、攻击增幅、生命增幅、护甲增幅,+298、×20、+8%、+8%、+8%,商城道具,下次登入获得,神秘商店每提升一个等级，杀敌加成+8%(上限可获得32%)，在神秘商店中每消耗2000杀敌购买商品，最终伤害+1%(上限可获得10%)
洗练重铸大师,商城购买,U币道具,未激活,珍藏积分、远古密钥、洗练石、重铸石、力量增幅、敏捷增幅、智力增幅、无视护甲,+648、×10、×200、×200、+5%、+5%、+5%、+5%,功能特权,下次登入获得,通关后进行重铸挑战战胜格鲁尔后获得的重铸石数量+1，洗练石数量+1（该道具会回溯之前已完成的次数，并进行一次奖励补偿，晚获得也不会亏）
考古职业证书,商城购买,U币道具,未激活,珍藏积分、传说密钥,+88、×8,特权道具,下次登入获得,考古模式下，获得“考古币”时额外增加20%
真·龙珠雷达,商城购买,U币道具,未激活,珍藏积分、传说密钥、生命增幅,+128、×8、+5%,特殊道具,下次登入获得,拥有该道具时，局内只需要六颗龙珠即可自动获得剩余的一颗，凑齐“七龙珠”召唤神龙进行许愿
黑锋骑士团礼盒,商城购买,U币道具,未激活,珍藏积分、黑锋骑士团声望、天灾印记、原力之石、额外获赠：传说密钥、远古密钥,+298、+12000、+100、+60、+10、+2,礼盒,下次登入获得,"[活动] 拥有1个该道具时: 黑锋骑士团声望每达成一个大等级-白字力量+50(共8级，最多+400)
拥有3个该道具时: 黑锋骑士团声望每达成一个大等级-最终力量+1%(共8级，最多+8%)
拥有5个该道具时: 黑锋骑士团声望每达成一个大等级-最终伤害+1%(共8级，最多+8%)
(大等级为: 冷淡, 中立, 友善, 尊敬, 崇敬, 崇拜, 传奇, 永恒)"
银色北伐军礼盒,商城购买,U币道具,未激活,珍藏积分、银色北伐军声望、银色水晶、原力之石、额外获赠：传说密钥、远古密钥,+298、+12000、+100、+60、+10、+2,礼盒,下次登入获得,"[活动] 拥有1个该道具时: 银色北伐军声望每达成一个大等级-白字敏捷+50(共8级，最多+400)
拥有3个该道具时: 银色北伐军声望每达成一个大等级-最终敏捷+1%(共8级，最多+8%)
拥有5个该道具时: 银色北伐军声望每达成一个大等级-最终伤害+1%(共8级，最多+8%)
(大等级为: 冷淡, 中立, 友善, 尊敬, 崇敬, 崇拜, 传奇, 永恒)"
肯瑞托礼盒,商城购买,U币道具,未激活,珍藏积分、肯瑞托声望、奥术徽记、原力之石、额外获赠：传说密钥、远古密钥,+298、+12000、+100、+60、+10、+2,礼盒,下次登入获得,"[活动] 拥有1个该道具时: 肯瑞托声望每达成一个大等级-白字智力+50(共8级，最多+400)
拥有3个该道具时: 肯瑞托声望每达成一个大等级-最终智力+1%(共8级，最多+8%)
拥有5个该道具时: 肯瑞托声望每达成一个大等级-最终伤害+1%(共8级，最多+8%)
(大等级为: 冷淡, 中立, 友善, 尊敬, 崇敬, 崇拜, 传奇, 永恒)"
探险者协会礼盒,商城购买,U币道具,未激活,珍藏积分、探险者协会声望、远古矿石、原力之石、额外获赠：传说密钥、远古密钥,+298、+12000、+100、+60、+10、+2,礼盒,下次登入获得,"[活动] 拥有1个该道具时: 探险者协会声望每达成一个大等级-初始木材+20（共8级，最多+160）
拥有3个该道具时: 探险者协会声望每达成一个大等级-杀敌经验+2%（共8级，最多+16%）
拥有5个该道具时: 探险者协会声望每达成一个大等级-最终伤害+1%（共8级，最多+8%）
(大等级为: 冷淡,中立,友善,尊敬,崇敬,崇拜,传奇,永恒)"
特训·奥术射线,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与奥术射线伤害,+128、×8与+10%,技能特训卷轴 (SSR),下次登入获得,存档-技能中升级奥术射线所需的技能碎片消耗减少10%(已消耗的会返还)
特训·冰霜新星,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与冰霜新星伤害,+128、×8与+10%,技能特训卷轴 (SSR),下次登入获得,存档-技能中升级冰霜新星所需的技能碎片消耗减少10%(已消耗的会返还)
特训·闪电链,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与闪电链伤害,+128、×8与+10%,技能特训卷轴 (SSR),下次登入获得,存档-技能中升级闪电链所需的技能碎片消耗减少10%(已消耗的会返还)
特训·地震,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与地震伤害,+128、×8与+10%,技能特训卷轴 (SSR),下次登入获得,存档-技能中升级地震所需的技能碎片消耗减少10%(已消耗的会返还)
特训·龙卷风,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与龙卷风伤害,+128、×8与+10%,技能特训卷轴 (SSR),下次登入获得,存档-技能中升级龙卷风所需的技能碎片消耗减少10%(已消耗的会返还)
特训·电磁网,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与电磁网伤害,+128、×8与+10%,技能特训卷轴 (SSR),下次登入获得,存档-技能中升级电磁网所需的技能碎片消耗减少10%(已消耗的会返还)
特训·陨石,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与陨石伤害,+128、×8与+10%,技能特训卷轴 (SSR),下次登入获得,存档-技能中升级陨石所需的技能碎片消耗减少10%(已消耗的会返还)
特训·飓风,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与飓风伤害,+128、×8与+10%,技能特训卷轴 (SSR),下次登入获得,存档-技能中升级飓风所需的技能碎片消耗减少10%(已消耗的会返还)
特训·火球,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与火球伤害,+128、×8与+10%,技能特训卷轴 (SSR),下次登入获得,存档-技能中升级火球所需的技能碎片消耗减少10%(已消耗的会返还)
物系徽章,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与物系伤害,+128、×8与+6%,系列徽章 (SSR),下次登入获得,根据[徽章]系列积分道具的数量(2/3/4/5/6)，分别提升(2%/4.5%/8%/12.5%/18%)所有伤害
能量徽章,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与能量伤害,+128、×8与+6%,系列徽章 (SSR),下次登入获得,根据[徽章]系列积分道具的数量(2/3/4/5/6)，分别提升(2%/4.5%/8%/12.5%/18%)所有伤害
火系徽章,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与火系伤害,+128、×8与+6%,系列徽章 (SSR),下次登入获得,根据[徽章]系列积分道具的数量(2/3/4/5/6)，分别提升(2%/4.5%/8%/12.5%/18%)所有伤害
冰系徽章,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与冰系伤害,+128、×8与+6%,系列徽章 (SSR),下次登入获得,根据[徽章]系列积分道具的数量(2/3/4/5/6)，分别提升(2%/4.5%/8%/12.5%/18%)所有伤害
电系徽章,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与电系伤害,+128、×8与+6%,系列徽章 (SSR),下次登入获得,根据[徽章]系列积分道具的数量(2/3/4/5/6)，分别提升(2%/4.5%/8%/12.5%/18%)所有伤害
风系徽章,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与风系伤害,+128、×8与+6%,系列徽章 (SSR),下次登入获得,根据[徽章]系列积分道具的数量(2/3/4/5/6)，分别提升(2%/4.5%/8%/12.5%/18%)所有伤害
战神符文,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、攻击力与攻击增幅,+128、×8、+50与+3%,系列符文 (SSR),下次登入获得,同时拥有[战神符文]、[生机符文]、[坚壁符文]，死亡后复活起来的8秒内：最终伤害+20%，伤害减免+20%，技能急速+25，攻速+50%
生机符文,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、生命值与生命增幅,+128、×8、+100与+3%,系列符文 (SSR),下次登入获得,同时拥有[战神符文]、[生机符文]、[坚壁符文]，死亡后复活起来的8秒内：最终伤害+20%，伤害减免+20%，技能急速+25，攻速+50%
坚壁符文,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、护甲与护甲增幅,+128、×8、+5与+3%,系列符文 (SSR),下次登入获得,同时拥有[战神符文]、[生机符文]、[坚壁符文]，死亡后复活起来的8秒内：最终伤害+20%，伤害减免+20%，技能急速+25，攻速+50%
泰坦符文,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、力量与力量增幅,+128、×8、+30与+5%,系列符文 (SSR),下次登入获得,每拥有20护甲，生命增幅+3%(上限15%)
迅影符文,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、敏捷与敏捷增幅,+128、×8、+30与+5%,系列符文 (SSR),下次登入获得,每拥有200%攻速，普攻伤害+3%(上限生效9%)
智慧符文,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥、智力与智力增幅,+128、×8、+30与+5%,系列符文 (SSR),下次登入获得,每拥有100急速，技能伤害+3%(上限生效9%)
进阶·影魔,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与攻击增幅,+128、×8与+3%,英雄进阶卡 (SSR),下次登入获得,局内进化时，UR英雄影魔的权重提高20%(小幅增加出现概率)，且进化为影魔后会额外获得一个技能点
进阶·屠夫,地图宝箱抽奖或者积分兑换,积分道具,未激活,珍藏积分、传说密钥与力量增幅,+128、×8与+3%,英雄进阶卡 (SSR),下次登入获得,局内进化时，UR英雄屠夫的权重提高20%(小幅增加出现概率)，且进化为屠夫后会额外获得一个技能点
