skill_id,evolution_id,evolution_name,evolution_summary
sword_wave,mountain_breaker_wave,崩岳天锋,金翎剑气进阶为崩岳天锋，成为中后期正面破阵的主轴技能。
arcane_laser,disintegration_stream,宝光灭相,七宝神光进阶为宝光灭相，擅长撕开高密敌群与高血量目标。
arcane_ray,void_ray,无相劫光,破妄神光进阶为无相劫光，主打高爆发长线贯穿。
frost_nova,glacial_domain,太阴冰界,玄冰法环进阶为太阴冰界，兼顾保命、控场与近身爆发。
chain_lightning,eternal_thunder_chain,九霄雷劫,雷音连珠进阶为九霄雷劫，后续弹射稳定清场。
earthquake,landslide,山河裂界,地脉崩山进阶为山河裂界，负责大范围压制与补刀。
tornado,eye_of_storm_king,黄风天灾,黄风卷进阶为黄风天灾，承担追踪切割与持续压制。
electro_net,forbidden_field,天罗禁域,缚敌雷网进阶为天罗禁域，负责稳定定怪与电场压制。
meteor,worldfall_meteor,大日焚世,火云陨星进阶为大日焚世，承担清场与斩首双职责。
hurricane,rift_hurricane,裂界风庭,罡风天轮进阶为裂界风庭，承担持续场与聚怪的终盘上限。
fireball,doomsday_firestar,红莲劫火,三昧火珠进阶为红莲劫火，兼顾直伤爆裂与灼烧收尾。
moon_blade,moon_blade_legend,太阴轮斩,月轮金刃进阶为太阴轮斩，形成来回切割的收割核心。
lotus_flame,lotus_flame_legend,业火莲台,红莲业火进阶为业火莲台，成为持续焚场与压血主核。
demon_seal,demon_seal_legend,五岳封锁,镇敌猎印进阶为五岳封锁，形成先封后爆的镇场终局。
flying_swords,flying_swords_legend,万剑归宗,破敌飞剑进阶为万剑归宗，形成高频追击与连锁收割的终局形态。
